dataset ,coarsening_method       ,coarsening_ratio ,experiment ,exp_setup           ,extra_nodes ,cluster_node ,community_used ,hidden ,runs ,num_layers ,batch_size ,lr     ,ave_acc                                      ,ave_time              ,top_10_acc                                   ,best_acc           ,top_10_loss                                      ,best_loss
cora    ,variation_neighborhoods ,             0.1 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,   5 ,         2 ,         1 ,0.01   ,0.7902 +/- 0.022121482771279163              ,0.41127800941467285   ,0.7902 +/- 0.022121482771279163              ,0.809              ,0.003032470597161187 +/- 0.00015609656291148082  ,0.0028901163736979167
cora    ,variation_neighborhoods ,             0.1 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,   5 ,         2 ,         8 ,0.0001 ,0.7838 +/- 0.003310589071449373              ,0.09870781898498535   ,0.7838 +/- 0.003310589071449373              ,0.788              ,0.01821975778130924 +/- 9.546959978569019e-05    ,0.018124061472275677
cora    ,variation_neighborhoods ,             0.1 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,   5 ,         2 ,         8 ,0.001  ,0.7849999999999999 +/- 0.0058991524815010556 ,0.08461666107177734   ,0.785 +/- 0.0058991524815010556              ,0.791              ,0.01778104270205778 +/- 0.00027026575187790017   ,0.017314796938615686
cora    ,variation_neighborhoods ,             0.1 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,   5 ,         2 ,         8 ,0.01   ,0.7958000000000001 +/- 0.008795453370918417  ,0.059369802474975586  ,0.7958000000000001 +/- 0.008795453370918417  ,0.802              ,0.02041401933221256 +/- 0.0013656409815591376    ,0.019385956666048837
cora    ,variation_neighborhoods ,             0.1 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,   5 ,         2 ,        32 ,0.0001 ,0.7852 +/- 0.0019390719429665335             ,0.017683696746826173  ,0.7852 +/- 0.0019390719429665333             ,0.788              ,0.06819300784005058 +/- 0.0005756369864646987    ,0.06758013036515978
cora    ,variation_neighborhoods ,             0.1 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,   5 ,         2 ,        32 ,0.001  ,0.7870000000000001 +/- 0.004604345773288539  ,0.04088883399963379   ,0.7870000000000001 +/- 0.004604345773288539  ,0.794              ,0.06701387299431695 +/- 0.0008960252821741731    ,0.06594583061006334
cora    ,variation_neighborhoods ,             0.1 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,   5 ,         2 ,        32 ,0.01   ,0.798 +/- 0.010059821071967406               ,0.01762557029724121   ,0.798 +/- 0.010059821071967406               ,0.814              ,0.0770226412349277 +/- 0.005264784636264316      ,0.07127915488349067
cora    ,variation_neighborhoods ,             0.1 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,   5 ,         2 ,       128 ,0.0001 ,0.7836000000000001 +/- 0.0034985711369071833 ,0.006724023818969726  ,0.7836000000000001 +/- 0.0034985711369071833 ,0.788              ,0.20662127335866293 +/- 0.0009738738592104288    ,0.20491274197896323
cora    ,variation_neighborhoods ,             0.1 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,   5 ,         2 ,       128 ,0.001  ,0.7852000000000001 +/- 0.004833218389437833  ,0.006474065780639649  ,0.7852 +/- 0.004833218389437833              ,0.792              ,0.20273896853129067 +/- 0.002667164447671836     ,0.1992372473080953
cora    ,variation_neighborhoods ,             0.1 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,   5 ,         2 ,       128 ,0.01   ,0.8026 +/- 0.009350935782048752              ,0.0070229053497314455 ,0.8026 +/- 0.009350935782048752              ,0.813              ,0.21989275614420573 +/- 0.00900379471238815      ,0.21175746122996011
cora    ,variation_neighborhoods ,             0.3 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,   5 ,         2 ,         1 ,0.0001 ,0.7756000000000001 +/- 0.0034409301068170535 ,1.18427472114563      ,0.7756000000000001 +/- 0.0034409301068170535 ,0.78               ,0.001232640471746913 +/- 6.011050252607581e-06   ,0.0012238034149930146
cora    ,variation_neighborhoods ,             0.3 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,   5 ,         2 ,         1 ,0.001  ,0.7926000000000001 +/- 0.002653299832284322  ,1.8977695941925048    ,0.7926 +/- 0.002653299832284322              ,0.797              ,0.0011446158020521821 +/- 1.1462695789829367e-05 ,0.0011282165491708232
cora    ,variation_neighborhoods ,             0.3 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,   5 ,         2 ,         1 ,0.01   ,0.7776000000000001 +/- 0.01217538500417955   ,2.1824176788330076    ,0.7776 +/- 0.012175385004179551              ,0.788              ,0.0014460578083567773 +/- 3.644299735507639e-05  ,0.0013820943671189168
cora    ,variation_neighborhoods ,             0.3 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,   5 ,         2 ,         8 ,0.0001 ,0.7830000000000001 +/- 0.003033150177620623  ,0.5236216068267823    ,0.783 +/- 0.003033150177620623               ,0.788              ,0.006761000553766885 +/- 5.073512595756709e-05   ,0.0066990116063286274
cora    ,variation_neighborhoods ,             0.3 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,   5 ,         2 ,         8 ,0.001  ,0.7912000000000001 +/- 0.003709447398198285  ,0.36545696258544924   ,0.7911999999999999 +/- 0.003709447398198285  ,0.794              ,0.00631305972735087 +/- 5.1220462105510345e-05   ,0.006266031195135678
cora    ,variation_neighborhoods ,             0.3 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,   5 ,         2 ,         8 ,0.01   ,0.7790000000000001 +/- 0.00669328021227261   ,0.1901792526245117    ,0.779 +/- 0.00669328021227261                ,0.79               ,0.007821504391875922 +/- 0.0002472407542516551   ,0.0074172411479201976
cora    ,variation_neighborhoods ,             0.3 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,   5 ,         2 ,        32 ,0.0001 ,0.7792 +/- 0.003969886648255845              ,0.0660334587097168    ,0.7792 +/- 0.003969886648255845              ,0.784              ,0.026545684612714327 +/- 0.00018838779781035373  ,0.026203643817168016
cora    ,variation_neighborhoods ,             0.3 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,   5 ,         2 ,        32 ,0.001  ,0.7978000000000002 +/- 0.004354308211415452  ,0.05872821807861328   ,0.7978000000000002 +/- 0.004354308211415452  ,0.802              ,0.024539161186951857 +/- 0.00017361417561948065  ,0.024306313349650457
cora,variation_neighborhoods,0.1,fixed,Gs_train_2_Gs_infer,False,True,False,512,5,2,1,0.01,0.8022 +/- 0.0054918120870983975,0.4494000434875488,0.8022000000000002 +/- 0.005491812087098397, 0.81, 0.0029190218713548446 +/- 4.526864143015115e-05, 0.0028572890493604873
